word,confidence,l,t,r,b,start,scrapedate,date
i,29.815635681152344,22266,11707,22867,12030,FALSE,2022-04-23T13:56:37Z,2022-04-01
—'__J0}=,2.2744827270507812,3309,12044,7634,12440,FALSE,2022-04-23T13:56:37Z,2022-04-01
=,32.711517333984375,5102,12040,5341,12447,FALSE,2022-04-23T13:56:37Z,2022-04-01
=f.,32.711517333984375,5475,12044,7409,12352,FALSE,2022-04-23T13:56:37Z,2022-04-01
ihm,0,8118,12044,9804,12352,FALSE,2022-04-23T13:56:37Z,2022-04-01
hihiHeHeH,0,10288,12044,15244,12352,FALSE,2022-04-23T13:56:37Z,2022-04-01
He,63.58982849121094,15727,12044,16343,12352,FALSE,2022-04-23T13:56:37Z,2022-04-01
HH,69.16561126708984,16812,12044,18513,12352,FALSE,2022-04-23T13:56:37Z,2022-04-01
He,46.85837173461914,18997,12044,19598,12352,FALSE,2022-04-23T13:56:37Z,2022-04-01
HH,63.8885383605957,20082,12044,21783,12352,FALSE,2022-04-23T13:56:37Z,2022-04-01
i,0,22266,12044,22867,12352,FALSE,2022-04-23T13:56:37Z,2022-04-01
neo,0,3309,12367,7634,12777,FALSE,2022-04-23T13:56:37Z,2022-04-01
—rsd,0,6126,12363,6649,12781,FALSE,2022-04-23T13:56:37Z,2022-04-01
Frc,51.9993782043457,6753,12363,7311,12781,FALSE,2022-04-23T13:56:37Z,2022-04-01
+B,6.259307861328125,7450,12363,7938,12781,FALSE,2022-04-23T13:56:37Z,2022-04-01
hc,29.890350341796875,8530,12363,9157,12781,FALSE,2022-04-23T13:56:37Z,2022-04-01
hUrlUrlUrlUrlUrlUrlUrlrllUlUrCU,0,10288,12367,21783,12675,FALSE,2022-04-23T13:56:37Z,2022-04-01
—‘,25.82891082763672,3309,12895,3485,13100,FALSE,2022-04-23T13:56:37Z,2022-04-01
0,19.560203552246094,4072,12689,7634,13012,FALSE,2022-04-23T13:56:37Z,2022-04-01
0x,13.787567138671875,5648,12685,6323,13111,FALSE,2022-04-23T13:56:37Z,2022-04-01
tin,13.787567138671875,6855,12685,7672,13111,FALSE,2022-04-23T13:56:37Z,2022-04-01
Mh,13.392822265625,8118,12689,9804,13012,FALSE,2022-04-23T13:56:37Z,2022-04-01
hihHHHHHeHHEHik,0,10288,12689,21783,13012,FALSE,2022-04-23T13:56:37Z,2022-04-01
Hi,5.887672424316406,22266,12689,22867,13012,FALSE,2022-04-23T13:56:37Z,2022-04-01
—VT%#=,1.03753662109375,3309,13027,7634,13423,FALSE,2022-04-23T13:56:37Z,2022-04-01
8S,0,5170,13023,6053,13430,FALSE,2022-04-23T13:56:37Z,2022-04-01
mm,35.85704040527344,7171,13023,7613,13430,FALSE,2022-04-23T13:56:37Z,2022-04-01
i,43.05364990234375,8118,13027,8719,13335,FALSE,2022-04-23T13:56:37Z,2022-04-01
hhiHeHeHeH,0,9203,13027,15244,13335,FALSE,2022-04-23T13:56:37Z,2022-04-01
He,59.690711975097656,15727,13027,16343,13335,FALSE,2022-04-23T13:56:37Z,2022-04-01
He,46.031097412109375,16812,13027,17428,13335,FALSE,2022-04-23T13:56:37Z,2022-04-01
He,38.68095397949219,17912,13027,18513,13335,FALSE,2022-04-23T13:56:37Z,2022-04-01
He,46.290977478027344,18997,13027,19598,13335,FALSE,2022-04-23T13:56:37Z,2022-04-01
Hh,72.7220458984375,20082,13027,21783,13335,FALSE,2022-04-23T13:56:37Z,2022-04-01
i,11.492813110351562,22266,13027,22867,13335,FALSE,2022-04-23T13:56:37Z,2022-04-01
"o32,,.",0,3309,13555,3822,13760,FALSE,2022-04-23T13:56:37Z,2022-04-01
 }3J/,0,5923,13349,6549,13657,FALSE,2022-04-23T13:56:37Z,2022-04-01
ft,45.795955657958984,7669,13345,8264,13764,FALSE,2022-04-23T13:56:37Z,2022-04-01
ft,14.186920166015625,8717,13345,9311,13764,FALSE,2022-04-23T13:56:37Z,2022-04-01
me,13.184036254882812,9834,13345,10359,13764,FALSE,2022-04-23T13:56:37Z,2022-04-01
oh,0,11373,13349,13074,13657,FALSE,2022-04-23T13:56:37Z,2022-04-01
hoch,23.929031372070312,13558,13349,14159,13657,FALSE,2022-04-23T13:56:37Z,2022-04-01
6UlhUclhlhlUlUlUlUlUlhlU,0,14642,13349,21783,13657,FALSE,2022-04-23T13:56:37Z,2022-04-01
Ce,28.52691650390625,23351,13349,23645,13657,FALSE,2022-04-23T13:56:37Z,2022-04-01
—C0Xo,34.29572296142578,3309,13672,6549,14082,FALSE,2022-04-23T13:56:37Z,2022-04-01
mn,33.1678466796875,7019,13672,7634,13994,FALSE,2022-04-23T13:56:37Z,2022-04-01
mmr,30.33257293701172,8118,13672,9804,13994,FALSE,2022-04-23T13:56:37Z,2022-04-01
He,33.483665466308594,10288,13672,10889,13994,FALSE,2022-04-23T13:56:37Z,2022-04-01
Here,0,11373,13672,13074,13994,FALSE,2022-04-23T13:56:37Z,2022-04-01
HrEeHerhlUAMlUCUC,0,13558,13672,16343,13994,FALSE,2022-04-23T13:56:37Z,2022-04-01
A,30.976608276367188,16869,13668,16941,14093,FALSE,2022-04-23T13:56:37Z,2022-04-01
rUrULUC,0,16812,13672,17428,13994,FALSE,2022-04-23T13:56:37Z,2022-04-01
RU,16.03369140625,17932,13668,18003,14093,FALSE,2022-04-23T13:56:37Z,2022-04-01
rCrUC,0,17912,13672,18513,13994,FALSE,2022-04-23T13:56:37Z,2022-04-01
cE,16.989730834960938,19030,13668,19137,14093,FALSE,2022-04-23T13:56:37Z,2022-04-01
CrCULUCUC,0,18997,13672,19598,13994,FALSE,2022-04-23T13:56:37Z,2022-04-01
ECLUlUCULhlUCUL,0,20082,13672,22867,13994,FALSE,2022-04-23T13:56:37Z,2022-04-01
CU,61.726444244384766,23351,13672,23645,13994,FALSE,2022-04-23T13:56:37Z,2022-04-01
oo,43.96636199951172,3309,14009,6549,14420,FALSE,2022-04-23T13:56:37Z,2022-04-01
iE,11.373443603515625,7019,14009,7634,14317,FALSE,2022-04-23T13:56:37Z,2022-04-01
HHH,37.487770080566406,8118,14009,10889,14317,FALSE,2022-04-23T13:56:37Z,2022-04-01
Hr,64.14759826660156,11373,14009,11989,14317,FALSE,2022-04-23T13:56:37Z,2022-04-01
HH,56.037803649902344,12473,14009,14159,14317,FALSE,2022-04-23T13:56:37Z,2022-04-01
FT,58.71150588989258,14642,14009,15244,14317,FALSE,2022-04-23T13:56:37Z,2022-04-01
EFF,42.74025344848633,15727,14009,18513,14317,FALSE,2022-04-23T13:56:37Z,2022-04-01
ES,28.11553192138672,18997,14009,20698,14317,FALSE,2022-04-23T13:56:37Z,2022-04-01
Fe,24.855430603027344,21167,14009,21783,14317,FALSE,2022-04-23T13:56:37Z,2022-04-01
Ue.,33.404815673828125,22266,14009,22867,14317,FALSE,2022-04-23T13:56:37Z,2022-04-01
lL,0,23351,14009,23645,14317,FALSE,2022-04-23T13:56:37Z,2022-04-01
oo,63.10733413696289,3309,14537,3822,14742,FALSE,2022-04-23T13:56:37Z,2022-04-01
_,72.21085357666016,4106,14328,4281,14746,FALSE,2022-04-23T13:56:37Z,2022-04-01
oo,29.729324340820312,4072,14332,5450,14640,FALSE,2022-04-23T13:56:37Z,2022-04-01
a,14.788009643554688,5464,14328,5988,14746,FALSE,2022-04-23T13:56:37Z,2022-04-01
eee,37.747528076171875,12473,14332,23645,14640,FALSE,2022-04-23T13:56:37Z,2022-04-01
This,96.082244873046875,1225,15934,1733,16138,FALSE,2022-04-23T13:56:37Z,2022-04-01
document,96.234527587890625,1825,15934,3020,16137,FALSE,2022-04-23T13:56:37Z,2022-04-01
provides,96.33924102783203,3116,15934,4129,16189,FALSE,2022-04-23T13:56:37Z,2022-04-01
general,95.9766616821289,4225,15935,5114,16193,FALSE,2022-04-23T13:56:37Z,2022-04-01
information,95.9766616821289,5227,15932,6551,16137,FALSE,2022-04-23T13:56:37Z,2022-04-01
and,95.67073059082031,6657,15934,7085,16137,FALSE,2022-04-23T13:56:37Z,2022-04-01
is,92.74818420410156,7199,15935,7368,16138,FALSE,2022-04-23T13:56:37Z,2022-04-01
indicative,96.03034973144531,7473,15934,8589,16137,FALSE,2022-04-23T13:56:37Z,2022-04-01
only.,96.25775909423828,8683,15935,9233,16191,FALSE,2022-04-23T13:56:37Z,2022-04-01
It,93.87474822998047,9361,15935,9481,16134,FALSE,2022-04-23T13:56:37Z,2022-04-01
is,96.79969787597656,9580,15935,9752,16138,FALSE,2022-04-23T13:56:37Z,2022-04-01
not,96.704345703125,9854,15948,10214,16137,FALSE,2022-04-23T13:56:37Z,2022-04-01
investment,71.79582214355469,10312,15935,11617,16138,FALSE,2022-04-23T13:56:37Z,2022-04-01
advice,96.44169616699219,11712,15934,12479,16137,FALSE,2022-04-23T13:56:37Z,2022-04-01
and,96.48444366455078,12579,15934,13011,16137,FALSE,2022-04-23T13:56:37Z,2022-04-01
readers,96.71700286865234,13125,15934,14026,16138,FALSE,2022-04-23T13:56:37Z,2022-04-01
should,96.29438018798828,14120,15934,14905,16138,FALSE,2022-04-23T13:56:37Z,2022-04-01
seek,96.192718505859375,15006,15935,15577,16138,FALSE,2022-04-23T13:56:37Z,2022-04-01
their,95.7105941772461,15659,15934,16202,16137,FALSE,2022-04-23T13:56:37Z,2022-04-01
