X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,scrape_date
IR - 90-Day Bank Bills (100 minus yield % p.a.),IR - 90-Day Bank Bills (100 minus yield % p.a.),IR - 90-Day Bank Bills (100 minus yield % p.a.),IR - 90-Day Bank Bills (100 minus yield % p.a.),IR - 90-Day Bank Bills (100 minus yield % p.a.),IR - 90-Day Bank Bills (100 minus yield % p.a.),IR - 90-Day Bank Bills (100 minus yield % p.a.),IR - 90-Day Bank Bills (100 minus yield % p.a.),IR - 90-Day Bank Bills (100 minus yield % p.a.),IR - 90-Day Bank Bills (100 minus yield % p.a.),2022-07-01
,,,,,,,,,,2022-07-01
Expiry,Open,High,Low,Last,Sett,Sett Chg,Op Int,Op Int Chg,Volume,2022-07-01
,,,,,,,,,,2022-07-01
Sep 2022,97.250,97.320,97.240,97.300,97.300,0.050,"188,125","2,681","16,467",2022-07-01
Dec 2022,96.420,96.520,96.420,96.490,96.490,0.070,"191,240","4,482","19,184",2022-07-01
Mar 2023,96.080,96.240,96.070,96.210,96.200,0.130,"127,541",503,"12,286",2022-07-01
Jun 2023,96.020,96.220,96.010,96.190,96.190,0.180,"114,519","1,105","12,708",2022-07-01
Sep 2023,96.080,96.290,96.060,96.280,96.270,0.210,"125,789","1,133","15,112",2022-07-01
Dec 2023,96.130,96.350,96.110,96.330,96.330,0.220,"65,845",-632,"9,019",2022-07-01
Mar 2024,96.160,96.370,96.130,96.360,96.350,0.210,"52,352",-238,"5,918",2022-07-01
Jun 2024,96.170,96.390,96.160,96.360,96.360,0.200,"27,340","1,306","6,374",2022-07-01
Sep 2024,96.300,96.370,96.270,96.370,96.370,0.200,793,-62,148,2022-07-01
Dec 2024,96.330,96.380,96.330,96.380,96.370,0.180,117,26,36,2022-07-01
Mar 2025,-,-,-,-,96.350,0.180,72,-,-,2022-07-01
Jun 2025,96.230,96.230,96.230,96.230,96.340,0.180,18,16,19,2022-07-01
Sep 2025,-,-,-,-,96.420,0.180,10,-,-,2022-07-01
Dec 2025,-,-,-,-,96.320,-0.010,20,-,-,2022-07-01
Mar 2026,-,-,-,-,96.320,-0.010,-,-,-,2022-07-01
Jun 2026,-,-,-,-,96.320,-0.010,-,-,-,2022-07-01
Sep 2026,-,-,-,-,96.320,-0.010,-,-,-,2022-07-01
Dec 2026,-,-,-,-,96.320,-0.010,-,-,-,2022-07-01
Mar 2027,-,-,-,-,96.320,-0.010,-,-,-,2022-07-01
Jun 2027,-,-,-,-,96.320,-0.010,-,-,-,2022-07-01
,,,,,,,,,,2022-07-01
Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,"893,781","10,320","97,271",2022-07-01
,,,,,,,,,,2022-07-01
,,,,,,,,,,2022-07-01
YT - 3 Year Bonds (100 minus yield % p.a.),YT - 3 Year Bonds (100 minus yield % p.a.),YT - 3 Year Bonds (100 minus yield % p.a.),YT - 3 Year Bonds (100 minus yield % p.a.),YT - 3 Year Bonds (100 minus yield % p.a.),YT - 3 Year Bonds (100 minus yield % p.a.),YT - 3 Year Bonds (100 minus yield % p.a.),YT - 3 Year Bonds (100 minus yield % p.a.),YT - 3 Year Bonds (100 minus yield % p.a.),YT - 3 Year Bonds (100 minus yield % p.a.),2022-07-01
,,,,,,,,,,2022-07-01
Expiry,Open,High,Low,Last,Sett,Sett Chg,Op Int,Op Int Chg,Volume,2022-07-01
,,,,,,,,,,2022-07-01
Sep 2022,96.655,96.850,96.620,96.795,96.800,0.165,"771,028","-2,832","175,618",2022-07-01
Dec 2022,-,-,-,-,96.800,0.165,-,-,-,2022-07-01
,,,,,,,,,,2022-07-01
Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,"771,028","-2,832","175,618",2022-07-01
,,,,,,,,,,2022-07-01
,,,,,,,,,,2022-07-01
VT - 5 Year Bonds (100 minus yields % p.a.),VT - 5 Year Bonds (100 minus yields % p.a.),VT - 5 Year Bonds (100 minus yields % p.a.),VT - 5 Year Bonds (100 minus yields % p.a.),VT - 5 Year Bonds (100 minus yields % p.a.),VT - 5 Year Bonds (100 minus yields % p.a.),VT - 5 Year Bonds (100 minus yields % p.a.),VT - 5 Year Bonds (100 minus yields % p.a.),VT - 5 Year Bonds (100 minus yields % p.a.),VT - 5 Year Bonds (100 minus yields % p.a.),2022-07-01
,,,,,,,,,,2022-07-01
Expiry,Open,High,Low,Last,Sett,Sett Chg,Op Int,Op Int Chg,Volume,2022-07-01
,,,,,,,,,,2022-07-01
Sep 2022,96.5100,96.6500,96.5050,96.6450,96.6300,0.1350,"24,658",196,555,2022-07-01
Dec 2022,-,-,-,-,96.6300,0.1350,-,-,-,2022-07-01
,,,,,,,,,,2022-07-01
Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,"24,658",196,555,2022-07-01
,,,,,,,,,,2022-07-01
,,,,,,,,,,2022-07-01
XT - 10 Year Bonds (100 minus yield % p.a.),XT - 10 Year Bonds (100 minus yield % p.a.),XT - 10 Year Bonds (100 minus yield % p.a.),XT - 10 Year Bonds (100 minus yield % p.a.),XT - 10 Year Bonds (100 minus yield % p.a.),XT - 10 Year Bonds (100 minus yield % p.a.),XT - 10 Year Bonds (100 minus yield % p.a.),XT - 10 Year Bonds (100 minus yield % p.a.),XT - 10 Year Bonds (100 minus yield % p.a.),XT - 10 Year Bonds (100 minus yield % p.a.),2022-07-01
,,,,,,,,,,2022-07-01
Expiry,Open,High,Low,Last,Sett,Sett Chg,Op Int,Op Int Chg,Volume,2022-07-01
,,,,,,,,,,2022-07-01
Sep 2022,96.2900,96.4200,96.2500,96.3500,96.3500,0.0700,"1,000,401",-790,"165,462",2022-07-01
Dec 2022,-,-,-,-,96.3500,0.0700,-,-,-,2022-07-01
,,,,,,,,,,2022-07-01
